tripid,faremethod,fare,loc_from,loc_to,driverid,custid,distance,duration
1261,2,139.4,13,12,1031,3644,6.94,17
1262,2,304.32,3,15,1403,2990,16.18,9
1263,2,141,4,10,1657,3733,7.1,11
1264,2,129.8,15,8,1167,2891,5.98,11
1265,4,57.1,1,4,1321,3387,4.42,12
1266,2,92.1,14,10,1927,2354,2.21,6
1267,2,110.2,2,1,1047,2195,4.02,23
1268,2,360.96,3,12,1405,2222,18.54,11
1269,2,354,10,3,1801,2466,18.25,18
1270,3,113.76,1,2,1869,3890,12.98,12
1271,2,318.24,4,9,1473,3654,16.76,11
1272,2,286.8,5,6,1378,2021,15.45,6
1273,1,122.04,4,7,1241,3014,13.67,19
1274,4,70.05,10,1,1056,3681,7.01,22
1275,2,92.1,14,10,1387,2988,2.21,11
1276,1,55.2,14,2,1740,2058,4.04,10
1277,2,150.4,9,9,1407,3844,8.04,3
1278,1,50.25,2,11,1082,2259,3.05,11
1279,2,199.92,12,11,1930,3963,11.83,12
1280,4,152.04,8,14,1766,2637,16.17,17
1281,1,49.9,9,15,1232,2091,2.98,4
1282,1,77.85,1,7,1787,3955,8.57,22
1283,2,301.68,9,13,1753,2621,16.07,23
1284,4,163.44,13,8,1624,3425,17.12,9
1285,4,69.7,9,4,1396,3814,6.94,16
1286,2,318.24,2,11,1921,3502,16.76,15
1287,4,58.3,3,3,1930,2446,4.66,14
1288,3,155.4,15,15,1736,3438,16.45,12
1289,3,74.75,9,11,1284,3347,7.95,1
1290,4,83.4,5,7,1950,3920,9.68,17
1291,2,146.6,7,7,1535,3278,7.66,6
1292,3,82.1,11,8,1932,3410,9.42,17
1293,2,276.72,8,11,1194,3717,15.03,11
1294,2,199.2,13,5,1802,3614,11.8,11
1295,4,66,11,2,1178,3045,6.2,6
1296,2,241.2,1,12,1345,2705,13.55,12
1297,3,66,4,14,1406,3771,6.2,18
1298,2,134.5,6,8,1985,3510,6.45,10
1299,2,238.56,13,5,1518,3230,13.44,10
1300,2,141,4,9,1405,2263,7.1,16
1301,2,286.8,1,6,1856,3008,15.45,16
1302,1,119.28,15,5,1166,3565,13.44,20
1303,1,88.6,8,4,1597,3058,10.72,23
1304,2,156,15,1,1791,3578,8.6,2
1305,3,120.6,5,12,1600,3718,13.55,6
1306,4,88,4,9,1556,3598,10.6,9
1307,2,146.6,12,6,1283,2129,7.66,18
1308,2,318.24,11,9,1380,2283,16.76,6
1309,4,152.04,1,12,1480,3120,16.17,19
1310,3,65.15,8,12,1220,3109,6.03,12
1311,2,141,7,9,1544,2579,7.1,15
1312,1,135.6,4,11,1363,2813,14.8,12
1313,2,186.24,9,7,1243,2401,11.26,12
1314,2,340.8,13,5,1496,3029,17.7,12
1315,2,178.3,2,7,1405,3770,10.83,9
1316,2,129.8,11,5,1565,3362,5.98,23
1317,2,99,11,15,1873,2561,2.9,6
1318,4,45.9,1,3,1112,2373,2.18,5
1319,2,114.2,8,4,1858,2498,4.42,15
1320,4,46.05,10,10,1069,2124,2.21,22
1321,2,118.2,13,11,1337,3997,4.82,13
1322,2,238.56,2,5,1652,3809,13.44,11
1323,2,96.8,4,10,1893,2045,2.68,12
1324,2,377.28,11,7,1056,2959,19.22,12
1325,3,53.45,15,9,1649,3258,3.69,16
1326,2,106.9,6,5,1168,3666,3.69,18
1327,2,99,15,7,1501,3746,2.9,5
1328,2,176,6,3,1444,2036,10.6,13
1329,2,96.8,9,15,1014,3858,2.68,22
1330,1,180.48,4,12,1199,2230,18.54,4
1331,3,113.76,1,13,1984,3468,12.98,8
1332,2,176,9,2,1835,2878,10.6,23
1333,3,93.12,15,11,1683,2020,11.26,22
1334,2,176,4,2,1972,3602,10.6,2
1335,4,190.8,2,9,1258,2173,19.4,23
1336,2,178.3,2,10,1126,2274,10.83,14
1337,2,241.2,6,12,1132,3392,13.55,6
1338,1,82.3,3,10,1927,2870,9.46,11
1339,2,150.4,7,9,1580,3251,8.04,15
1340,4,75.2,1,9,1759,2533,8.04,5
1341,1,143.4,8,6,1464,2638,15.45,7
1342,4,159.12,5,11,1986,2165,16.76,18
1343,3,52.8,4,4,1386,2666,3.56,22
1344,2,176,5,9,1721,3781,10.6,18
1345,1,70.5,4,9,1457,2873,7.1,10
1346,2,336.48,13,3,1008,2524,17.52,15
1347,2,275.04,1,8,1216,3324,14.96,6
1348,3,74.9,8,13,1286,3552,7.98,5
1349,2,199.2,14,5,1700,3830,11.8,6
1350,1,156.36,12,9,1536,3638,16.53,3
1351,2,310.8,11,15,1495,3628,16.45,8
1352,4,137.52,3,3,1889,2358,14.96,11
1353,1,114.36,12,10,1441,3163,13.03,6
1354,2,148.5,7,12,1473,3768,7.85,12
1355,2,105.6,11,7,1028,2189,3.56,12
1356,2,118.2,4,8,1762,3989,4.82,10
1357,3,127.32,13,11,1357,2540,14.11,6
1358,4,79,5,5,1383,3775,8.8,17
1359,2,140.1,7,14,1574,2645,7.01,22
1360,2,155.2,15,8,1792,2768,8.52,12
1361,2,199.2,3,13,1755,2346,11.8,6
1362,2,99,4,7,1889,2599,2.9,1
1363,3,135.6,15,11,1144,3609,14.8,11
1364,2,100.4,9,7,1548,3204,3.04,11
1365,3,137.52,10,3,1611,2497,14.96,17
1366,2,178.3,10,10,1363,3119,10.83,12
1367,2,304.32,4,14,1942,3906,16.18,11
1368,2,116.6,2,3,1763,3587,4.66,9
1369,2,149,13,11,1164,3297,7.9,11
1370,2,211.68,8,9,1574,3851,12.32,20
1371,3,155.4,14,15,1608,2565,16.45,9
1372,2,330.48,11,15,1387,2372,17.27,8
1373,4,64.5,12,9,1431,2748,5.9,11
1374,2,224.64,2,4,1595,2178,12.86,19
1375,2,304.08,8,12,1801,2316,16.17,14
1376,1,155.4,13,15,1706,3594,16.45,14
1377,2,336.48,6,3,1256,2993,17.52,6
1378,2,129,11,9,1613,2280,5.9,6
1379,4,190.8,13,4,1322,2586,19.4,12
1380,2,125.8,11,8,1044,2411,5.58,21
1381,4,48.4,10,15,1359,3577,2.68,13
1382,4,99.96,1,12,1488,3862,11.83,14
1383,2,377.28,15,7,1042,2937,19.22,14
1384,2,360.96,15,12,1024,3249,18.54,6
1385,2,312.72,7,12,1555,2317,16.53,22
1386,2,113.8,3,9,1824,3029,4.38,20
1387,2,310.8,10,1,1120,2538,16.45,12
1388,1,86.7,11,4,1763,2933,10.34,20
1389,4,65.15,4,3,1067,2706,6.03,20
1390,1,73.3,7,7,1021,3548,7.66,15
1391,3,52.65,1,8,1654,3565,3.53,9
1392,2,132.4,10,3,1248,3777,6.24,18
1393,4,84.8,10,13,1550,2001,9.96,20
1394,4,123.6,15,8,1424,3752,13.8,6
1395,2,330.48,13,15,1370,2130,17.27,18
1396,2,110.2,10,8,1641,2739,4.02,18
1397,2,295.68,15,5,1315,2622,15.82,14
1398,1,52.8,11,7,1770,2627,3.56,13
1399,3,165.24,12,13,1957,3911,17.27,14
1400,2,164.6,2,4,1298,2183,9.46,9
1401,2,100.4,6,1,1653,3318,3.04,6
1402,2,99.8,2,3,1359,2841,2.98,18
1403,2,149.5,6,11,1615,3202,7.95,11
1404,2,275.04,15,8,1353,2509,14.96,3
1405,2,130.3,13,3,1503,3268,6.03,2
1406,1,186,12,15,1115,2577,19,6
1407,1,46.05,2,13,1924,3983,2.21,13
1408,2,391.68,8,14,1878,2388,19.82,1
1409,2,199.2,1,5,1718,2686,11.8,14
1410,2,146.6,14,7,1161,3111,7.66,12
1411,3,60.6,1,13,1762,3080,5.12,4
1412,2,129.8,13,8,1755,3161,5.98,14
1413,2,148.5,11,6,1903,3594,7.85,13
1414,1,79.45,5,7,1512,2257,8.89,12
1415,4,60.6,9,13,1680,3006,5.12,8
1416,2,118.2,7,11,1106,3109,4.82,10
1417,2,227.52,11,13,1674,2493,12.98,20
1418,2,158,3,5,1447,3567,8.8,6
1419,1,137.52,3,3,1599,2378,14.96,15
1420,1,190.8,4,4,1404,3498,19.4,9
1421,2,150.4,10,13,1908,3601,8.04,20
1422,4,46.05,10,10,1211,3628,2.21,12
1423,2,164.6,12,4,1328,2544,9.46,6
1424,2,99.8,5,3,1481,2864,2.98,13
1425,2,192.24,1,2,1519,2039,11.51,16
1426,4,122.04,9,14,1137,3446,13.67,11
1427,2,377.28,13,7,1546,2771,19.22,8
1428,2,139.4,14,12,1112,2285,6.94,6
1429,4,106.68,7,12,1420,3109,12.39,11
1430,2,139.4,8,12,1721,2868,6.94,12
1431,2,132,13,14,1121,2097,6.2,2
1432,2,129,9,9,1801,3424,5.9,3
1433,2,310.8,11,1,1820,3152,16.45,17
1434,2,114.2,11,15,1486,3280,4.42,8
1435,2,372,11,15,1781,3325,19,17
1436,2,213.36,15,12,1568,2859,12.39,11
1437,3,49.9,15,15,1435,3370,2.98,16
1438,1,117.36,10,3,1160,3631,13.28,6
1439,2,149,15,1,1551,2746,7.9,9
1440,2,310.8,2,15,1512,3242,16.45,7
1441,3,167.16,9,12,1699,3447,17.43,16
1442,1,78,8,1,1270,2555,8.6,15
1443,3,119.28,11,5,1289,3338,13.44,6
1444,3,113.76,3,13,1791,3393,12.98,12
1445,2,106.9,13,9,1773,2523,3.69,13
1446,3,45.9,4,3,1945,2392,2.18,12
1447,4,82.6,5,11,1885,2959,9.52,6
1448,2,182.64,15,12,1907,2799,11.11,8
1449,2,254.64,14,6,1076,3788,14.11,12
1450,2,158.9,13,9,1552,3208,8.89,8
1451,2,310.8,4,1,1896,3902,16.45,10
1452,2,304.32,5,15,1397,3687,16.18,9
1453,2,310.32,1,5,1565,3057,16.43,12
1454,2,211.68,15,2,1500,2934,12.32,23
1455,2,164.2,10,8,1855,2174,9.42,6
1456,2,220.8,11,1,1745,3696,12.7,13
1457,2,354,5,12,1002,3067,18.25,6
1458,2,166.8,10,7,1654,2683,9.68,13
1459,2,125.8,3,8,1176,3910,5.58,12
1460,2,211.68,13,9,1801,3745,12.32,2
1461,2,130.3,12,12,1648,2064,6.03,9
1462,2,185.76,15,13,1036,3024,11.24,19
1463,2,141,3,9,1630,3756,7.1,22
1464,3,86.7,3,4,1598,3266,10.34,14
1465,2,96.8,11,15,1074,3716,2.68,12
1466,1,82.3,3,10,1110,2949,9.46,6
1467,2,173.4,9,6,1393,3282,10.34,19
1468,2,310.32,13,2,1448,3835,16.43,20
1469,3,70.05,3,14,1814,2400,7.01,17
1470,3,74.25,13,12,1074,2736,7.85,7
1471,2,164.6,10,10,1713,2888,9.46,6
1472,2,100.4,5,1,1976,3606,3.04,14
1473,2,247.2,1,12,1546,3376,13.8,19
1474,3,57.15,15,6,1524,2058,4.43,21
1475,1,46.8,1,6,1627,3333,2.36,20
1476,4,58.3,10,6,1810,3920,4.66,2
1477,2,110.2,4,1,1271,3952,4.02,11
1478,1,122.04,8,7,1941,3424,13.67,22
1479,2,376.56,14,1,1105,3097,19.19,1
1480,2,340.8,7,15,1724,2497,17.7,2
1481,2,164.2,13,8,1502,3828,9.42,4
1482,4,74.5,15,1,1754,3521,7.9,8
1483,2,275.04,1,3,1769,3439,14.96,11
1484,2,90,12,1,1506,3932,2,7
1485,2,334.32,9,5,1967,3413,17.43,9
1486,2,241.2,2,12,1877,2959,13.55,19
1487,3,105.84,9,2,1047,3330,12.32,20
1488,2,100.4,3,1,1896,3859,3.04,3
1489,3,46.8,7,8,1597,3982,2.36,21
1490,3,82.6,12,14,1446,2683,9.52,13
1491,2,90,15,3,1713,2536,2,10
1492,2,238.56,10,1,1488,2743,13.44,6
1493,2,125.8,11,13,1603,2140,5.58,11
1494,3,49.9,7,15,1161,3585,2.98,18
1495,2,166.8,5,7,1609,2251,9.68,16
1496,2,199.2,1,13,1168,2342,11.8,12
1497,2,125.4,13,4,1686,2036,5.54,11
1498,2,310.32,5,5,1497,2744,16.43,12
1499,1,93.12,10,11,1128,2414,11.26,8
1500,2,117.1,4,11,1468,3952,4.71,16
1501,2,91.8,13,3,1439,2045,2.18,12
1502,2,158,3,4,1559,3397,8.8,9
1503,2,96.8,13,15,1468,2399,2.68,16
1504,1,186,2,15,1036,2922,19,18
1505,2,286.8,13,6,1482,2581,15.45,11
1506,3,46.8,14,6,1514,3301,2.36,16
1507,2,146.6,8,6,1775,2234,7.66,19
1508,2,149.8,3,13,1138,3134,7.98,17
1509,1,57.1,2,4,1714,2477,4.42,8
1510,4,110.4,12,1,1401,3766,12.7,6
1511,2,118.2,10,8,1474,2966,4.82,13
1512,2,182.64,7,10,1895,2341,11.11,6
1513,4,117.36,6,3,1738,3125,13.28,6
1514,1,77.6,9,8,1954,3656,8.52,6
1515,2,129,5,9,1027,2605,5.9,11
1516,4,88,13,2,1691,3767,10.6,7
1517,3,78,4,1,1491,2533,8.6,12
1518,2,326.88,8,8,1604,2757,17.12,13
1519,2,391.68,15,14,1570,2483,19.82,11
1520,4,73.3,15,6,1724,3085,7.66,8
1521,2,92.1,11,13,1568,2104,2.21,15
1522,2,176,3,3,1463,3105,10.6,22
1523,1,127.32,3,11,1936,3017,14.11,6
1524,1,96.12,12,2,1626,2062,11.51,12
1525,1,45,8,1,1261,3018,2,12
1526,2,361.68,3,10,1467,3466,18.57,11
1527,2,220.8,7,1,1396,2981,12.7,12
1528,3,127.32,10,11,1902,3691,14.11,15
1529,2,220.8,4,10,1809,2857,12.7,1
1530,2,271.2,4,10,1914,3502,14.8,12
1531,3,55.2,10,11,1186,3355,4.04,12
1532,2,241.2,4,1,1099,2648,13.55,6
1533,2,125.4,1,14,1300,2968,5.54,8
1534,4,161.88,13,14,1178,3133,16.99,10
1535,2,110.2,10,8,1326,3424,4.02,11
1536,4,77.6,4,4,1193,3769,8.52,1
1537,1,55.1,13,8,1806,2303,4.02,22
1538,2,140.1,3,1,1986,3789,7.01,22
1539,3,114.36,12,2,1616,3713,13.03,12
1540,2,173.4,4,4,1254,3563,10.34,22
1541,2,238.56,11,5,1079,3674,13.44,18
1542,4,156.36,4,9,1095,3615,16.53,13
1543,2,166.8,9,5,1246,3811,9.68,9
1544,2,164.6,13,4,1390,2303,9.46,15
1545,2,286.8,14,2,1726,2771,15.45,6
1546,3,64.5,8,9,1237,2177,5.9,6
1547,2,132.4,4,3,1900,3467,6.24,16
1548,2,125.4,13,14,1693,3026,5.54,15
1549,4,155.16,4,5,1467,2550,16.43,14
1550,2,125.4,9,14,1077,2245,5.54,11
1551,2,110.4,3,11,1228,2181,4.04,13
1552,3,155.4,2,1,1047,3498,16.45,1
1553,3,74.25,8,12,1090,3001,7.85,12
1554,2,117.1,7,5,1083,2473,4.71,8
1555,1,99.6,11,13,1653,2238,11.8,6
1556,3,70.05,9,1,1737,3394,7.01,13
1557,2,156,15,13,1397,3957,8.6,8
1558,3,156.36,13,12,1927,3305,16.53,6
1559,2,309.6,8,14,1168,3690,16.4,23
1560,4,46.8,5,6,1520,2625,2.36,3
1561,2,310.32,6,2,1688,3982,16.43,6
1562,3,74.75,10,4,1924,2596,7.95,16
1563,2,186.24,1,7,1624,3964,11.26,11
1564,2,114.3,13,5,1572,2649,4.43,8
1565,2,158,4,4,1910,2684,8.8,2
1566,1,62.7,9,14,1281,3743,5.54,6
1567,1,84.8,9,12,1139,2927,9.96,14
1568,3,45,13,3,1275,2698,2,11
1569,2,158,4,4,1983,2056,8.8,21
1570,2,132,5,14,1658,2719,6.2,12
1571,3,70.5,2,9,1474,3131,7.1,10
1572,2,99.8,1,3,1867,3856,2.98,21
1573,2,100.5,5,11,1367,3588,3.05,9
1574,2,106.9,11,5,1806,2728,3.69,5
1575,4,86.7,4,4,1181,2283,10.34,6
1576,4,123.6,4,12,1013,3215,13.8,13
1577,2,391.68,8,14,1987,2006,19.82,11
1578,4,57.1,2,4,1791,2393,4.42,16
1579,2,185.76,14,14,1625,3341,11.24,11
1580,2,178.3,3,2,1641,3439,10.83,20
1581,1,82.6,11,14,1520,2268,9.52,1
1582,4,86.7,3,4,1423,3720,10.34,16
1583,4,82.1,1,8,1245,2319,9.42,13
1584,1,62.7,15,14,1579,3028,5.54,17
1585,2,149,2,11,1179,2956,7.9,6
1586,2,228.72,3,10,1663,3671,13.03,23
1587,2,164.6,12,4,1677,2360,9.46,8
1588,3,57.15,5,5,1056,2585,4.43,22
1589,2,199.2,12,13,1271,3999,11.8,11
1590,4,46.8,12,6,1649,3313,2.36,20
1591,2,301.68,4,3,1758,3240,16.07,13
1592,4,88,7,9,1558,2460,10.6,22
1593,2,90,13,1,1100,2237,2,11
1594,3,123.6,11,8,1308,3122,13.8,14
1595,1,82.6,9,11,1794,3159,9.52,1
1596,2,372,7,6,1516,2687,19,22
1597,4,82.1,15,8,1119,2955,9.42,20
1598,1,79.45,1,7,1234,3329,8.89,9
1599,2,323.76,14,14,1415,3722,16.99,8
1600,3,93.36,2,4,1990,2842,11.28,11
1601,2,192.24,5,2,1341,2089,11.51,12
1602,1,188.28,1,2,1743,2368,19.19,6
1603,2,129.8,4,5,1095,3718,5.98,20
1604,2,106.9,10,9,1413,2363,3.69,16
1605,3,74.5,4,1,1380,3258,7.9,13
1606,3,49.5,15,7,1988,3219,2.9,6
1607,1,58.3,10,6,1439,3391,4.66,12
1608,3,127.32,15,6,1811,3159,14.11,19
1609,1,79.45,10,9,1410,3015,8.89,16
1610,3,114.36,7,10,1530,3993,13.03,22
1611,2,129,15,1,1544,3334,5.9,11
1612,4,156.36,3,12,1932,3563,16.53,15
1613,2,139.4,10,12,1948,3242,6.94,12
1614,2,113.8,9,9,1532,2396,4.38,15
1615,2,164.6,3,10,1597,2406,9.46,11
1616,2,178.3,12,8,1934,2672,10.83,11
1617,2,155.7,5,7,1083,2486,8.57,16
1618,3,152.88,3,6,1094,3330,16.24,12
1619,2,182.64,1,12,1252,3008,11.11,6
1620,3,110.4,1,1,1661,2090,12.7,16
1621,4,119.28,7,1,1060,2934,13.44,11
1622,2,100.4,11,1,1855,3219,3.04,5
1623,2,309.6,1,14,1612,3145,16.4,20
1624,2,110.4,1,2,1828,2658,4.04,5
1625,1,99.96,5,12,1925,2001,11.83,12
1626,1,119.28,9,5,1690,2449,13.44,13
1627,3,70.05,4,14,1172,3664,7.01,6
1628,3,52.65,9,8,1637,2099,3.53,18
1629,1,58.3,10,3,1766,2207,4.66,8
1630,1,83.4,13,5,1800,2431,9.68,6
1631,2,310.32,10,2,1796,3594,16.43,12
1632,2,192.24,9,2,1436,2444,11.51,12
1633,1,46.8,2,6,1136,2117,2.36,4
1634,1,70.05,14,14,1126,2475,7.01,3
1635,2,228.72,5,2,1195,3389,13.03,22
1636,2,134.5,13,8,1099,2776,6.45,17
1637,2,150.4,2,13,1257,3499,8.04,6
1638,2,275.04,5,8,1698,3562,14.96,21
1639,2,276.72,5,3,1683,2519,15.03,18
1640,2,376.56,14,2,1520,3990,19.19,16
1641,2,361.68,8,6,1494,2286,18.57,21
1642,3,197.76,15,13,1472,2353,19.98,12
1643,1,60.6,4,6,1986,3496,5.12,11
1644,4,180.48,15,2,1044,2030,18.54,6
1645,2,310.8,8,1,1050,3149,16.45,15
1646,2,177.2,8,4,1737,2724,10.72,16
1647,3,112.32,5,3,1097,2483,12.86,13
1648,3,49.5,10,7,1726,2622,2.9,12
1649,4,161.88,2,6,1788,3848,16.99,16
1650,2,100.5,15,15,1546,2965,3.05,11
1651,2,92.1,14,10,1158,2177,2.21,15
1652,3,197.76,1,13,1949,3505,19.98,13
1653,1,79,2,4,1807,3161,8.8,10
1654,2,150.4,15,9,1312,3642,8.04,13
1655,3,55.1,6,1,1757,3413,4.02,13
1656,2,148.5,10,6,1220,3789,7.85,5
1657,2,309.6,12,14,1127,3144,16.4,11
1658,3,48.4,8,15,1095,3910,2.68,17
1659,2,186.24,11,11,1157,2598,11.26,22
1660,2,186.24,13,11,1907,3445,11.26,10
1661,2,286.8,7,2,1200,3563,15.45,13
1662,2,118.2,13,11,1024,2140,4.82,12
1663,2,377.28,3,13,1615,3471,19.22,12
1664,2,185.76,6,14,1234,2507,11.24,11
1665,2,176,6,9,1447,3912,10.6,20
1666,2,185.76,10,14,1375,3648,11.24,19
1667,2,286.8,15,2,1914,3420,15.45,11
1668,2,105.6,2,4,1389,3481,3.56,6
1669,4,152.16,12,15,1472,3386,16.18,16
1670,2,132.4,1,3,1062,2350,6.24,11
1671,2,192.24,14,2,1708,2758,11.51,22
1672,2,318.24,14,11,1807,3102,16.76,17
1673,2,354,5,12,1526,2608,18.25,12
1674,1,55.1,1,1,1200,2626,4.02,23
1675,2,140.1,6,14,1989,2575,7.01,12
1676,2,323.76,7,6,1422,3494,16.99,12
1677,2,340.8,9,5,1327,2766,17.7,22
1678,3,188.64,8,13,1657,2302,19.22,18
1679,3,177,4,3,1705,3492,18.25,14
1680,2,323.76,12,6,1981,3790,16.99,11
1681,2,276.72,9,11,1697,2117,15.03,9
1682,3,74.25,7,6,1813,2328,7.85,6
1683,4,113.76,9,13,1846,2451,12.98,18
1684,2,224.64,6,4,1754,3600,12.86,17
1685,1,64.5,4,1,1245,2517,5.9,11
1686,3,46.05,12,13,1985,3433,2.21,13
1687,4,66.2,3,3,1956,3712,6.24,6
1688,4,55.1,12,1,1711,2194,4.02,13
1689,4,58.55,13,11,1504,2194,4.71,7
1690,2,129.8,14,5,1639,3302,5.98,6
1691,2,121.2,7,6,1190,3513,5.12,11
1692,3,167.16,15,5,1180,2102,17.43,20
1693,2,99,5,7,1917,3909,2.9,6
1694,2,276.72,3,3,1127,3897,15.03,19
1695,2,92.1,8,13,1634,3418,2.21,5
1696,2,110.4,1,11,1981,3892,4.04,17
1697,2,176,9,15,1397,3146,10.6,11
1698,2,381.6,15,9,1037,2507,19.4,16
1699,2,92.1,9,10,1820,3662,2.21,10
1700,4,113.76,8,2,1125,3902,12.98,15
1701,2,318.24,2,11,1092,3314,16.76,3
1702,1,154.8,10,9,1739,3364,16.4,22
1703,2,164.2,6,7,1575,2533,9.42,17
1704,1,65.15,6,9,1904,3580,6.03,21
1705,4,88.6,4,1,1607,3050,10.72,1
1706,1,114.36,3,10,1776,2007,13.03,6
1707,2,99,14,7,1070,3788,2.9,8
1708,2,100.4,9,7,1587,3832,3.04,21
1709,2,100.4,9,1,1383,2334,3.04,8
1710,2,113.8,3,9,1354,2452,4.38,11
1711,4,55.1,4,1,1599,2753,4.02,6
1712,2,238.56,11,1,1316,2791,13.44,19
1713,1,186,9,6,1033,3807,19,3
1714,2,211.68,8,2,1290,3277,12.32,12
1715,2,361.68,12,6,1065,3376,18.57,11
1716,4,66.2,12,3,1314,2725,6.24,3
1717,2,134.5,7,8,1475,2076,6.45,21
1718,3,91.32,8,10,1183,3323,11.11,12
1719,2,178.3,6,7,1352,3155,10.83,6
1720,2,238.56,9,1,1856,2284,13.44,6
1721,4,152.04,3,12,1839,3183,16.17,6
1722,2,90,15,1,1078,3146,2,18
1723,2,164.2,2,8,1355,3447,9.42,14
1724,2,395.52,2,11,1062,3335,19.98,11
1725,2,117.1,9,11,1360,2582,4.71,8
1726,1,48.4,15,10,1803,3577,2.68,23
1727,1,186,10,15,1327,3972,19,12
1728,1,62.9,11,8,1305,2786,5.58,16
1729,2,309.6,9,14,1649,2485,16.4,21
1730,2,140.1,7,14,1937,2041,7.01,14
1731,4,180.48,8,12,1616,2640,18.54,6
1732,3,70.05,13,14,1695,2343,7.01,17
1733,2,323.76,2,14,1201,3646,16.99,13
1734,2,110.2,13,8,1409,2595,4.02,6
1735,3,92.88,10,13,1986,2386,11.24,1
1736,2,169.6,10,13,1118,2815,9.96,23
1737,1,55.2,2,2,1658,2615,4.04,6
1738,2,178.3,11,2,1699,2757,10.83,7
1739,2,149.5,14,4,1120,2318,7.95,22
1740,4,106.68,4,15,1760,3628,12.39,11
1741,2,110.2,6,1,1559,3176,4.02,16
1742,1,188.64,1,7,1912,2795,19.22,6
1743,4,52.8,8,4,1077,2085,3.56,17
1744,2,244.08,2,7,1428,2757,13.67,17
1745,1,82.1,3,8,1940,2753,9.42,6
1746,2,244.08,11,14,1176,2289,13.67,6
1747,2,164.6,7,10,1552,2819,9.46,14
1748,2,139.4,6,12,1826,2640,6.94,13
1749,3,82.1,12,8,1085,2209,9.42,8
1750,2,304.32,8,14,1608,3668,16.18,17
1751,2,121.2,5,6,1915,2968,5.12,17
1752,2,164.2,2,8,1284,2362,9.42,3
1753,2,241.2,6,1,1817,2823,13.55,12
1754,2,377.28,1,13,1161,2644,19.22,9
1755,2,213.36,14,15,1571,2618,12.39,17
1756,2,312.72,8,9,1377,3453,16.53,6
1757,2,132,1,2,1099,3433,6.2,6
1758,1,52.65,7,15,1757,3906,3.53,11
1759,2,186.72,12,2,1079,3543,11.28,8
1760,2,323.76,2,6,1135,2465,16.99,8
1761,1,70.5,11,9,1727,2524,7.1,6
1762,2,381.6,15,4,1678,3890,19.4,22
1763,1,69.7,14,12,1513,3701,6.94,8
1764,2,141,13,9,1774,2435,7.1,10
1765,2,271.2,10,10,1017,3327,14.8,9
1766,2,110.2,10,8,1589,3131,4.02,3
1767,2,148.5,2,12,1311,3637,7.85,6
1768,2,326.88,8,8,1614,3255,17.12,6
1769,2,290.4,5,9,1526,2855,15.6,10
1770,2,310.32,7,5,1187,2753,16.43,10
1771,4,89.15,14,8,1820,3789,10.83,15
1772,4,154.8,5,9,1017,2263,16.4,6
1773,2,305.76,1,1,1856,3725,16.24,12
1774,2,110.4,4,11,1673,2488,4.04,11
1775,2,376.56,3,1,1632,2567,19.19,3
1776,1,152.04,3,14,1953,2245,16.17,12
1777,2,177.2,7,1,1960,3230,10.72,23
1778,2,149,15,1,1239,3074,7.9,22
1779,4,88,7,3,1805,2519,10.6,6
1780,4,159.12,5,9,1672,2374,16.76,14
1781,2,169.6,2,12,1193,2055,9.96,16
1782,2,247.2,2,12,1625,3823,13.8,6
1783,2,227.52,8,2,1350,3009,12.98,7
1784,2,254.64,7,11,1607,2404,14.11,11
1785,2,199.92,5,11,1355,3790,11.83,16
1786,2,323.76,12,6,1785,2844,16.99,2
1787,2,177.2,13,1,1310,2773,10.72,11
1788,2,186.24,6,7,1625,2023,11.26,17
1789,2,323.76,2,14,1513,3357,16.99,18
1790,2,186.72,11,2,1312,3196,11.28,8
1791,1,154.8,12,14,1676,2947,16.4,18
1792,3,84.8,6,12,1055,3089,9.96,18
1793,2,336.48,4,3,1447,3678,17.52,12
1794,1,99.6,14,13,1923,3625,11.8,13
1795,4,163.44,11,2,1054,2782,17.12,6
1796,2,91.8,6,3,1515,3381,2.18,12
1797,2,211.68,13,9,1658,3798,12.32,21
1798,2,166.8,3,5,1756,2714,9.68,20
1799,3,99.96,6,12,1359,2230,11.83,3
1800,2,116.6,4,6,1175,3664,4.66,8
1801,2,149.8,13,4,1895,3200,7.98,14
1802,2,164.2,1,7,1005,3113,9.42,13
1803,1,147.84,11,10,1480,2704,15.82,22
1804,1,88.6,13,4,1026,2955,10.72,10
1805,3,82.1,4,8,1538,3077,9.42,6
1806,1,45,6,1,1443,2296,2,17
1807,2,155.2,11,4,1379,3708,8.52,17
1808,1,163.44,11,2,1079,3692,17.12,18
1809,2,149.5,3,11,1530,3848,7.95,18
1810,2,372,3,6,1524,3443,19,13
1811,2,391.68,9,14,1117,2929,19.82,18
1812,4,105.84,12,9,1117,2299,12.32,11
1813,2,241.2,4,12,1379,3465,13.55,13
1814,2,113.8,8,9,1221,2664,4.38,6
1815,2,340.8,15,5,1093,2715,17.7,7
1816,2,93.6,10,8,1632,2739,2.36,15
1817,4,99.96,10,11,1735,3203,11.83,10
1818,2,334.32,6,12,1456,2662,17.43,11
1819,3,195.84,10,10,1908,3388,19.82,16
1820,2,90,14,3,1855,2885,2,11
1821,1,154.8,12,14,1113,3938,16.4,21
1822,2,117.1,4,11,1464,3840,4.71,11
1823,1,120.6,7,1,1366,2872,13.55,6
1824,2,121.2,4,6,1627,3310,5.12,13
